"Arquivo";"StatusArquivo";"ChavesTribo";"ChavesDeepSeek";"Iguais";"Diferentes";"SomenteTribo";"SomenteDeepSeek";"TriboPreenchidoDeepVazio";"TriboVazioDeepPreenchido";"AmbosPreenchidosDiferentes";"PT_Tribo_Heuristico";"PT_DeepSeek_Heuristico";"EN_Tribo_Heuristico";"EN_DeepSeek_Heuristico"
"Lighthouse_Island_MS.int";"Diferen̤as para reviṣo";"111";"111";"89";"22";"0";"0";"0";"1";"21";"9";"3";"0";"0"
"Lighthouse_Objectives.int";"Diferen̤as para reviṣo";"32";"32";"19";"13";"0";"0";"0";"0";"13";"8";"7";"0";"0"
"Lighthouse_Tweaks.int";"Diferen̤as para reviṣo";"72";"72";"49";"23";"0";"0";"0";"0";"23";"9";"0";"0";"0"
"Lighthouse_Twk.int";"Diferen̤as para reviṣo";"45";"45";"34";"11";"0";"0";"0";"0";"11";"4";"3";"0";"0"
"LocationMaps_Assets.int";"Id̻ntico";"114";"114";"114";"0";"0";"0";"0";"0";"0";"11";"11";"0";"0"
"Money_twk.int";"Diferen̤as para reviṣo";"744";"744";"687";"57";"0";"0";"0";"0";"57";"70";"62";"1";"1"
"Money_twk_Abs.int";"Diferen̤as para reviṣo";"3";"3";"2";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0"
"movable_twk.int";"Diferen̤as para reviṣo";"780";"786";"733";"29";"18";"24";"0";"0";"29";"37";"36";"0";"0"
"MovableLimb_Interact_twk.int";"Diferen̤as para reviṣo";"6";"6";"5";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0"
"MysteryMan_MS.int";"Diferen̤as para reviṣo";"113";"113";"56";"57";"0";"0";"0";"0";"57";"0";"15";"13";"0"
"OilRain_MS.int";"Diferen̤as para reviṣo";"48";"48";"34";"14";"0";"0";"0";"0";"14";"0";"11";"4";"0"
"OutsiderDream_Objectives.int";"Diferen̤as para reviṣo";"9";"9";"5";"4";"0";"0";"0";"0";"4";"2";"2";"1";"0"
"OutsiderShrine_twk.int";"Diferen̤as para reviṣo";"6";"6";"4";"2";"0";"0";"0";"0";"2";"1";"1";"0";"0"
"Overseer_DesignTemp.int";"Diferen̤as para reviṣo";"26";"26";"24";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Overseer_MS.int";"Diferen̤as para reviṣo";"16";"16";"13";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Overseer_Twk.int";"Diferen̤as para reviṣo";"425";"437";"346";"79";"0";"12";"0";"0";"79";"49";"31";"1";"1"
"Ovrsr_AbstractInv_Assets.int";"Diferen̤as para reviṣo";"82";"82";"80";"2";"0";"0";"0";"0";"2";"2";"2";"0";"0"
"Ovrsr_AbstractInv_MS.int";"Diferen̤as para reviṣo";"186";"186";"92";"94";"0";"0";"0";"0";"94";"84";"57";"1";"1"
"Ovrsr_Objectives.int";"Diferen̤as para reviṣo";"50";"50";"29";"21";"0";"0";"0";"0";"21";"20";"20";"1";"0"
"PASpeaker_twk.int";"Id̻ntico";"6";"6";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Pawn_FighterCiv_MTall_1.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pickups_twk.int";"Diferen̤as para reviṣo";"529";"529";"451";"78";"0";"0";"0";"0";"78";"72";"29";"0";"0"
"Pickups_twk_Keys.int";"Diferen̤as para reviṣo";"56";"56";"55";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"Prison_AbstractInv_Assets.int";"Diferen̤as para reviṣo";"18";"18";"17";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0"
"Prison_AbstractInv_MS.int";"Diferen̤as para reviṣo";"9";"9";"3";"6";"0";"0";"0";"0";"6";"5";"6";"0";"0"
"Prison_MS.int";"Diferen̤as para reviṣo";"71";"71";"58";"13";"0";"0";"0";"0";"13";"6";"3";"1";"1"
"Prison_Objectives.int";"Diferen̤as para reviṣo";"51";"51";"32";"19";"0";"0";"0";"0";"19";"18";"16";"1";"2"
"PrsnSewer_Twk.int";"Diferen̤as para reviṣo";"53";"53";"39";"14";"0";"0";"0";"0";"14";"6";"4";"2";"1"
"Pub_Objectives.int";"Diferen̤as para reviṣo";"151";"151";"88";"63";"0";"0";"0";"0";"63";"52";"60";"10";"4"
"Pwn_Aristo_F_1.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_Aristo_F_1_Mask1.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_Aristo_F_2.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_Aristo_F_3.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_Aristo_F_4.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_Aristo_MTall_1.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_Aristo_MTall_1_Mask1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Pwn_Aristo_MTall_2.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_Aristo_MTall_3.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_Aristo_MTall_4.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_Assassin_MTall_1.int";"Diferen̤as para reviṣo";"24";"24";"18";"6";"0";"0";"0";"0";"6";"3";"0";"0";"0"
"Pwn_Assassin_MTBase.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_AssassinIntro_MTall_1.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_AssassinSlack_MTall_1.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_Bridge.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"2";"1";"0";"0"
"Pwn_BrothelMadam_F.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_CityGuard_MSmall_0.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Pwn_CityGuard_MSmall_1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Pwn_CityGuard_MSmall_1_Full1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Pwn_CityGuard_MSmall_1_Helm1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Pwn_CityGuard_MSmall_1_Mask1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Pwn_CityGuard_MSmall_2.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Pwn_CityGuard_MSmall_2_Helm1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Pwn_CityGuard_MSmall_2_Mask2.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Pwn_CityGuard_MSmall_3.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Pwn_CityGuard_MSmall_3_Helm1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Pwn_CityGuard_MSmall_3_Mask1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Pwn_Civ_Base.int";"Diferen̤as para reviṣo";"40";"40";"30";"10";"0";"0";"0";"0";"10";"5";"0";"0";"0"
"Pwn_Daud_MTall_1.int";"Diferen̤as para reviṣo";"24";"24";"15";"9";"0";"0";"0";"0";"9";"6";"3";"0";"0"
"Pwn_Dead_NPCs.int";"Diferen̤as para reviṣo";"168";"168";"126";"42";"0";"0";"0";"0";"42";"21";"0";"0";"0"
"Pwn_EliteGuard_Base.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"pwn_eliteguard_mtall_0.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"pwn_eliteguard_mtall_1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Pwn_EliteGuard_MTall_1_Full1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Pwn_EliteGuard_MTall_1_Helm1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Pwn_EliteGuard_MTall_1_Mask1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"pwn_eliteguard_mtall_2.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Pwn_EliteGuard_MTall_2_Helm1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Pwn_EliteGuard_MTall_2_Mask2.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"pwn_eliteguard_mtall_3.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Pwn_EliteGuard_MTall_3_Helm1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Pwn_EliteGuard_MTall_3_Mask1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"pwn_eliteguard_mtall_4.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Pwn_EliteGuard_MTall_4_Helm1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"pwn_eliteguard_mtall_4_Hub7.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Pwn_EliteGuard_MTall_4_Mask2.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"pwn_eliteguard_mtall_5.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Pwn_EliteGuard_MTall_5_Helm1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Pwn_EliteGuard_MTall_5_Hub7.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Pwn_EliteGuard_Prison.int";"Diferen̤as para reviṣo";"40";"40";"25";"15";"0";"0";"0";"0";"15";"10";"5";"0";"0"
"Pwn_ExecSister_F.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_GrannyRags_F.int";"Diferen̤as para reviṣo";"16";"16";"10";"6";"0";"0";"0";"0";"6";"2";"0";"0";"0"
"Pwn_Grif_MSmall.int";"Diferen̤as para reviṣo";"16";"16";"12";"4";"0";"0";"0";"0";"4";"2";"0";"0";"0"
"Pwn_Guard_Base.int";"Diferen̤as para reviṣo";"32";"32";"22";"10";"0";"0";"0";"0";"10";"6";"2";"0";"0"
"Pwn_LeglessBum_MSmall.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_LowerGuard_MTall_0.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_LowerGuard_MTall_0_Mask1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_LowerGuard_MTall_1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_LowerGuard_MTall_1_Cap1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_LowerGuard_MTall_2.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_LowerGuard_MTall_2_Cap1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_LowerGuard_MTall_3.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_LowerGuard_MTall_3_Cap1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_LowerGuard_MTall_4.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_LowerGuard_MTall_4_Cap1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_LowerGuardIntro_MTall_0.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_MiddleClass_F_1.int";"Diferen̤as para reviṣo";"16";"16";"12";"4";"0";"0";"0";"0";"4";"2";"0";"0";"0"
"Pwn_MiddleClass_F_1_Mask1.int";"Diferen̤as para reviṣo";"16";"16";"12";"4";"0";"0";"0";"0";"4";"2";"0";"0";"0"
"Pwn_MiddleClass_F_2.int";"Diferen̤as para reviṣo";"16";"16";"12";"4";"0";"0";"0";"0";"4";"2";"0";"0";"0"
"Pwn_MiddleClass_F_2_Hat1.int";"Diferen̤as para reviṣo";"16";"16";"12";"4";"0";"0";"0";"0";"4";"2";"0";"0";"0"
"Pwn_MiddleClass_F_3.int";"Diferen̤as para reviṣo";"40";"40";"27";"13";"0";"0";"0";"0";"13";"5";"0";"0";"0"
"Pwn_MiddleClass_F_3_Hat1.int";"Diferen̤as para reviṣo";"16";"16";"12";"4";"0";"0";"0";"0";"4";"2";"0";"0";"0"
"Pwn_MiddleClass_F_4.int";"Diferen̤as para reviṣo";"16";"16";"12";"4";"0";"0";"0";"0";"4";"2";"0";"0";"0"
"Pwn_MiddleClass_MSmall_1.int";"Diferen̤as para reviṣo";"32";"32";"24";"8";"0";"0";"0";"0";"8";"4";"0";"0";"0"
"Pwn_MiddleClass_MSmall_1_Hat1.int";"Diferen̤as para reviṣo";"16";"16";"12";"4";"0";"0";"0";"0";"4";"2";"0";"0";"0"
"Pwn_MiddleClass_MSmall_1_Tower.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"2";"1";"0";"0"
"Pwn_MiddleClass_MTall_1.int";"Diferen̤as para reviṣo";"56";"56";"41";"15";"0";"0";"0";"0";"15";"8";"1";"0";"0"
"Pwn_MiddleClass_MTall_1_Hat1.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_MiddleClass_MTall_1_Mask1.int";"Diferen̤as para reviṣo";"16";"16";"12";"4";"0";"0";"0";"0";"4";"2";"0";"0";"0"
"Pwn_MiddleClass_MTall_2.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_MiddleClass_MTall_2_Hat1.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_MiddleClass_MTall_3.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_MiddleClass_MTall_3_Hat1.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_MusicO_Regent_MTall_1.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_MusicOverseer_MTall_1.int";"Diferen̤as para reviṣo";"16";"16";"12";"4";"0";"0";"0";"0";"4";"2";"0";"0";"0"
"Pwn_Overseer_Base.int";"Diferen̤as para reviṣo";"16";"16";"12";"4";"0";"0";"0";"0";"4";"2";"0";"0";"0"
"Pwn_Overseer_MTall_1.int";"Diferen̤as para reviṣo";"16";"16";"12";"4";"0";"0";"0";"0";"4";"2";"0";"0";"0"
"Pwn_OverseerHMaster_MTall_1.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_Prostitute_F_1.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_Prostitute_F_1_Mask1.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_Prostitute_F_2.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_Prostitute_F_2_Mask1.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_Prostitute_F_3.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_Prostitute_F_3_Mask1.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_Prostitute_F_4.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_Prostitute_F_4_Mask1.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_Prostitute_F_5.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_Prostitute_F_5_Mask1.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_PrsnSewer.int";"Diferen̤as para reviṣo";"16";"16";"10";"6";"0";"0";"0";"0";"6";"3";"1";"0";"0"
"Pwn_Servant_F_1.int";"Diferen̤as para reviṣo";"24";"24";"17";"7";"0";"0";"0";"0";"7";"3";"0";"0";"0"
"Pwn_Servant_F_2.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_SlackJaw_MTall_1.int";"Diferen̤as para reviṣo";"16";"16";"10";"6";"0";"0";"0";"0";"6";"2";"0";"0";"0"
"Pwn_Thug_Base.int";"Diferen̤as para reviṣo";"24";"24";"15";"9";"0";"0";"0";"0";"9";"3";"0";"0";"0"
"Pwn_Thug_MSmall_0.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_Thug_MSmall_1.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_Thug_MSmall_1_Hat1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_Thug_MSmall_2.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_Thug_MSmall_2_Hat1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_Thug_MSmall_3.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_Thug_MSmall_4.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_Thug_MSmall_5.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_Thug_MSmall_5_Hat.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_Thug_MSmall_6.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_Thug_MSmall_6_Hat1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_Thug_MSmall_7.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_Thug_MSmall_7_Hat1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_ThugWhiskey_MSmall_1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_ThugWhiskey_MSmall_1_Hat1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_ThugWhiskey_MSmall_2.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_ThugWhiskey_MSmall_2_Hat1.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_ThugWhiskey_MSmall_3.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_ThugWhiskey_MSmall_3_Hat1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_ThugWhiskey_MSmall_4.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Pwn_ThugWhiskey_MSmall_4_Hat1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_Weeper_Base.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_Weeper_FBase.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_Weeper_MSBase.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_Weeper_MTBase.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_WeeperAristo_F_1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_WeeperAristo_MTall_1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_WeeperCity_MSmall_1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_WeeperElite_MTall_1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_WeeperMiddle_F_1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_WeeperMiddle_F_2.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_WeeperMiddle_MSmall_1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_WeeperMiddle_MTall_1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_WeeperThug_MSmall_1.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Pwn_WeeperThug_MSmall_2.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"Race_MS.int";"Diferen̤as para reviṣo";"18";"18";"11";"7";"0";"0";"0";"0";"7";"0";"2";"2";"0"
"RewireTool_twk.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"2";"2";"0";"0"
"RPG.int";"Diferen̤as para reviṣo";"81";"127";"28";"53";"0";"46";"0";"0";"53";"40";"39";"1";"1"
"Runes_twk.int";"Diferen̤as para reviṣo";"11";"11";"9";"2";"0";"0";"0";"0";"2";"2";"1";"0";"1"
"Scoring.INT";"Diferen̤as para reviṣo";"58";"58";"3";"55";"0";"0";"0";"0";"55";"0";"19";"8";"0"
"SecuritySystems_twk.int";"Diferen̤as para reviṣo";"107";"107";"71";"36";"0";"0";"0";"0";"36";"26";"27";"0";"0"
"Settings.int";"Diferen̤as para reviṣo";"236";"241";"129";"107";"0";"5";"0";"0";"107";"54";"60";"0";"0"
"Sewer_MS.int";"Diferen̤as para reviṣo";"12";"12";"11";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0"
